algorithm,environment,seed,final_reward
No clipping or penalty,Walker2d-v5,1,22.585294275474517
No clipping or penalty,Walker2d-v5,2,-31.173307078564967
No clipping or penalty,Walker2d-v5,3,-105.83123428023642
No clipping or penalty,HalfCheetah-v5,1,-1068947.8036757486
No clipping or penalty,HalfCheetah-v5,2,-5930.0806638600725
No clipping or penalty,HalfCheetah-v5,3,-3702422.9417058434
No clipping or penalty,Hopper-v5,1,16.0312661305711
No clipping or penalty,Hopper-v5,2,-103.0596261958678
No clipping or penalty,Hopper-v5,3,5.941608165513117
No clipping or penalty,InvertedDoublePendulum-v5,1,21.572186354699948
No clipping or penalty,InvertedDoublePendulum-v5,2,20.393266091247355
No clipping or penalty,InvertedDoublePendulum-v5,3,20.984994373728814
No clipping or penalty,InvertedPendulum-v5,1,2.0
No clipping or penalty,InvertedPendulum-v5,2,2.0
No clipping or penalty,InvertedPendulum-v5,3,2.0
No clipping or penalty,Reacher-v5,1,-10475.94929647169
No clipping or penalty,Reacher-v5,2,-1184.8499140579568
No clipping or penalty,Reacher-v5,3,-191857.56198503234
No clipping or penalty,Swimmer-v5,1,-0.31464853736368714
No clipping or penalty,Swimmer-v5,2,-18.58419692590068
No clipping or penalty,Swimmer-v5,3,-22.180827864936987
"Clipping, ε = 0.1",Walker2d-v5,1,1049.70290210806
"Clipping, ε = 0.1",Walker2d-v5,2,688.4459351450599
"Clipping, ε = 0.1",Walker2d-v5,3,932.7593257719589
"Clipping, ε = 0.1",HalfCheetah-v5,1,1483.2177075421705
"Clipping, ε = 0.1",HalfCheetah-v5,2,1224.98919340088
"Clipping, ε = 0.1",HalfCheetah-v5,3,1304.0881720846583
"Clipping, ε = 0.1",Hopper-v5,1,1726.4387777607647
"Clipping, ε = 0.1",Hopper-v5,2,1170.4347679919579
"Clipping, ε = 0.1",Hopper-v5,3,1632.9014662485756
"Clipping, ε = 0.1",InvertedDoublePendulum-v5,1,5423.000170757987
"Clipping, ε = 0.1",InvertedDoublePendulum-v5,2,2452.370440416107
"Clipping, ε = 0.1",InvertedDoublePendulum-v5,3,5333.070120123081
"Clipping, ε = 0.1",InvertedPendulum-v5,1,632.93
"Clipping, ε = 0.1",InvertedPendulum-v5,2,694.15
"Clipping, ε = 0.1",InvertedPendulum-v5,3,601.62
"Clipping, ε = 0.1",Reacher-v5,1,-6.389505147204749
"Clipping, ε = 0.1",Reacher-v5,2,-8.549680943753458
"Clipping, ε = 0.1",Reacher-v5,3,-6.409649313532523
"Clipping, ε = 0.1",Swimmer-v5,1,101.65389167023658
"Clipping, ε = 0.1",Swimmer-v5,2,106.10812889676306
"Clipping, ε = 0.1",Swimmer-v5,3,94.18163162429377
"Clipping, ε = 0.2",Walker2d-v5,1,725.9302865620444
"Clipping, ε = 0.2",Walker2d-v5,2,982.7313427612831
"Clipping, ε = 0.2",Walker2d-v5,3,652.397312636125
"Clipping, ε = 0.2",HalfCheetah-v5,1,1639.4763423798154
"Clipping, ε = 0.2",HalfCheetah-v5,2,-700.513887949359
"Clipping, ε = 0.2",HalfCheetah-v5,3,1097.7841575734992
"Clipping, ε = 0.2",Hopper-v5,1,1365.5716106966806
"Clipping, ε = 0.2",Hopper-v5,2,1068.2331023444706
"Clipping, ε = 0.2",Hopper-v5,3,1562.328898887654
"Clipping, ε = 0.2",InvertedDoublePendulum-v5,1,4228.653781416908
"Clipping, ε = 0.2",InvertedDoublePendulum-v5,2,3154.857743180721
"Clipping, ε = 0.2",InvertedDoublePendulum-v5,3,5651.123639391506
"Clipping, ε = 0.2",InvertedPendulum-v5,1,884.28
"Clipping, ε = 0.2",InvertedPendulum-v5,2,975.1
"Clipping, ε = 0.2",InvertedPendulum-v5,3,906.62
"Clipping, ε = 0.2",Reacher-v5,1,-6.8762885855503555
"Clipping, ε = 0.2",Reacher-v5,2,-7.712314962927616
"Clipping, ε = 0.2",Reacher-v5,3,-5.696825995026419
"Clipping, ε = 0.2",Swimmer-v5,1,84.40242721398556
"Clipping, ε = 0.2",Swimmer-v5,2,84.20932881239384
"Clipping, ε = 0.2",Swimmer-v5,3,72.85789590376508
"Clipping, ε = 0.3",Walker2d-v5,1,1165.1279195294735
"Clipping, ε = 0.3",Walker2d-v5,2,872.8462117991315
"Clipping, ε = 0.3",Walker2d-v5,3,1651.5255345361336
"Clipping, ε = 0.3",HalfCheetah-v5,1,851.9538799588945
"Clipping, ε = 0.3",HalfCheetah-v5,2,1894.2192735334227
"Clipping, ε = 0.3",HalfCheetah-v5,3,2649.536304062243
"Clipping, ε = 0.3",Hopper-v5,1,754.6867228595663
"Clipping, ε = 0.3",Hopper-v5,2,998.1005097631778
"Clipping, ε = 0.3",Hopper-v5,3,959.8404689193006
"Clipping, ε = 0.3",InvertedDoublePendulum-v5,1,142.53535786783294
"Clipping, ε = 0.3",InvertedDoublePendulum-v5,2,296.4714294787723
"Clipping, ε = 0.3",InvertedDoublePendulum-v5,3,320.8584090931018
"Clipping, ε = 0.3",InvertedPendulum-v5,1,725.18
"Clipping, ε = 0.3",InvertedPendulum-v5,2,867.61
"Clipping, ε = 0.3",InvertedPendulum-v5,3,793.44
"Clipping, ε = 0.3",Reacher-v5,1,-9.55400487006596
"Clipping, ε = 0.3",Reacher-v5,2,-8.763600321519037
"Clipping, ε = 0.3",Reacher-v5,3,-18.74130873269845
"Clipping, ε = 0.3",Swimmer-v5,1,53.336299163358746
"Clipping, ε = 0.3",Swimmer-v5,2,46.447236157109536
"Clipping, ε = 0.3",Swimmer-v5,3,67.92518748077718
"Adaptive KL, dtarg = 0.003",Walker2d-v5,1,280.98169961099916
"Adaptive KL, dtarg = 0.003",Walker2d-v5,2,350.00036946774344
"Adaptive KL, dtarg = 0.003",Walker2d-v5,3,353.3511320843165
"Adaptive KL, dtarg = 0.003",HalfCheetah-v5,1,-34151.39095614235
"Adaptive KL, dtarg = 0.003",HalfCheetah-v5,2,-33921.37590944553
"Adaptive KL, dtarg = 0.003",HalfCheetah-v5,3,-34802.39868706441
